project,name,grade,class,gender,score,rank,point
800米预决,龙怡霏,2021,W1,2,2'58"48,1,9
800米预决,蒋飞鸣,2022,W2,2,2'59"91,2,7
800米预决,金子琦,2023,L6,2,3'00"10,3,6
800米预决,查玉卿,2024,L10,2,3'07"29,4,5
800米预决,陶星宇,2025,L2,2,3'07"59,5,4
800米预决,熊紫言,2026,L8,2,3'1"80,6,3
800米预决,熊珂瑾,2027,L12,2,3'12"63,7,2
800米预决,栗宁,2028,L9,2,3'13"84,8,1
